60 174
52 54 69
52 55 33
29 32 56
1 2 25
52 53 58
1 3 54
35 38 10
1 4 79
35 37 76
35 36 75
10 11 26
10 12 38
5 6 28
10 13 16
5 7 97
29 30 40
5 8 21
18 19 78
29 31 41
8 11 64
18 21 7
21 24 36
46 47 94
21 23 14
21 22 68
46 49 25
46 48 47
18 20 5
8 10 17
55 58 53
55 57 26
55 56 91
32 33 31
32 35 12
32 34 59
13 15 60
13 16 92
13 14 31
43 44 26
43 45 30
43 46 99
24 25 11
24 26 83
24 27 98
50 51 23
48 50 80
50 53 6
50 52 21
58 59 65
12 13 52
4 5 90
37 38 11
4 6 37
12 15 46
37 39 22
4 7 5
12 14 4
48 51 81
37 40 4
40 43 68
8 9 9
40 42 90
40 41 60
58 60 66
48 49 56
23 24 44
23 25 6
23 26 6
53 55 42
53 56 86
53 54 12
34 36 81
34 37 11
34 35 7
15 18 75
15 17 53
15 16 58
9 12 86
45 46 15
45 48 76
45 47 7
26 27 18
26 29 100
26 28 64
9 10 88
9 11 43
56 59 62
56 58 54
56 57 76
31 32 58
31 34 55
3 4 2
31 33 47
3 5 80
14 16 31
3 6 67
14 17 16
14 15 49
7 8 10
7 9 12
42 45 38
39 42 60
42 44 67
42 43 57
25 26 61
25 28 7
25 27 16
39 41 60
39 40 25
51 52 81
28 31 26
51 54 97
51 53 78
36 39 67
36 38 3
36 37 39
17 19 62
17 18 8
28 30 66
47 50 89
7 10 20
17 20 8
59 60 53
20 22 60
47 49 64
20 23 20
20 21 37
47 48 13
28 29 7
54 56 67
54 57 66
27 30 85
54 55 65
33 35 22
2 3 16
33 36 37
2 4 22
2 5 6
33 34 13
16 19 69
16 18 8
16 17 64
6 7 75
6 8 15
6 9 34
44 45 79
44 46 44
44 47 14
27 29 35
27 28 56
49 51 90
49 50 49
30 31 86
57 58 18
30 32 11
57 59 53
30 33 95
11 12 74
38 39 24
11 14 92
11 13 28
49 52 27
38 41 95
41 44 22
41 43 86
41 42 2
19 22 41
22 25 100
22 24 53
22 23 48
19 20 78
19 21 87
57 60 84
38 40 47
1 60
