100 294
52 54 35
52 55 83
29 32 92
1 2 53
52 53 85
1 3 25
35 38 40
1 4 24
35 37 84
35 36 1
80 83 65
80 82 71
80 81 80
29 30 85
18 19 45
29 31 2
63 64 56
63 65 2
63 66 84
18 21 37
46 47 4
46 49 80
46 48 86
91 93 52
91 94 39
18 20 9
91 92 86
74 77 52
74 76 78
74 75 78
13 15 56
13 16 49
13 14 58
85 86 89
85 88 5
85 87 66
24 25 25
24 26 93
24 27 81
96 97 98
96 98 5
96 99 79
69 71 31
58 59 34
69 70 60
12 13 8
12 15 74
12 14 8
69 72 8
86 88 30
86 89 20
86 87 9
40 43 74
8 9 58
40 42 41
40 41 29
58 60 91
23 24 13
23 25 36
23 26 61
58 61 4
97 98 77
97 99 98
53 55 8
53 56 27
53 54 94
34 36 49
34 37 47
34 35 54
64 65 77
64 67 59
64 66 58
45 46 65
45 48 56
45 47 26
75 78 70
75 77 27
75 76 5
99 100 15
7 8 26
7 9 94
39 42 48
70 71 76
39 41 96
70 73 73
39 40 16
70 72 18
28 31 2
81 84 76
17 19 80
81 83 40
17 18 18
81 82 59
28 30 42
7 10 36
59 61 23
17 20 46
59 60 87
92 94 43
92 95 91
28 29 29
92 93 46
59 62 35
54 56 49
54 57 88
27 30 30
54 55 47
33 35 76
33 36 96
33 34 98
16 19 12
16 18 14
16 17 12
6 7 35
82 83 62
6 8 64
82 84 96
6 9 11
82 85 93
65 66 92
65 68 90
65 67 47
44 45 16
44 46 64
44 47 86
27 29 19
93 95 48
93 96 22
27 28 49
93 94 73
49 51 94
49 50 84
76 77 71
76 78 86
76 79 11
11 12 78
38 39 10
11 14 48
11 13 79
60 63 45
87 89 96
60 62 81
60 61 86
49 52 86
87 88 16
38 41 27
22 25 68
22 24 85
22 23 23
87 90 62
71 72 97
98 99 23
71 74 9
38 40 1
71 73 51
77 78 63
77 79 5
10 11 39
10 12 95
5 6 46
10 13 36
5 7 87
5 8 59
88 89 62
8 11 96
21 24 22
21 23 40
21 22 37
88 91 88
77 80 41
88 90 39
98 100 49
8 10 81
55 58 78
55 57 24
55 56 69
32 33 13
32 35 89
32 34 96
66 68 54
66 69 15
66 67 39
43 44 87
43 45 15
43 46 60
50 51 85
48 50 11
50 53 54
50 52 86
4 5 37
37 38 67
4 6 70
37 39 28
4 7 25
61 64 44
61 63 91
48 51 58
61 62 71
37 40 58
48 49 47
72 74 45
72 75 93
72 73 53
15 18 60
15 17 61
15 16 23
83 84 89
83 85 70
83 86 88
9 12 14
26 27 8
94 97 35
94 96 19
26 29 76
94 95 43
26 28 85
9 10 28
9 11 25
56 59 80
56 58 22
56 57 43
31 32 99
31 34 64
3 4 41
31 33 59
3 5 7
14 16 15
3 6 74
14 17 33
67 70 18
14 15 43
84 85 31
84 87 36
84 86 37
42 45 50
67 69 80
42 44 58
42 43 70
67 68 70
25 26 91
95 98 48
95 97 46
25 28 13
95 96 25
25 27 10
51 52 8
78 79 88
51 54 85
51 53 84
36 39 86
36 38 17
36 37 1
47 50 51
62 63 30
62 64 100
62 65 43
20 22 78
47 49 61
20 23 48
97 100 80
78 80 12
20 21 18
47 48 99
89 92 11
89 91 38
78 81 66
89 90 93
73 75 3
73 76 88
73 74 23
2 3 35
2 4 47
2 5 97
79 81 26
79 80 68
79 82 55
30 31 53
57 58 40
68 70 32
30 32 63
57 59 41
30 33 51
68 71 48
41 44 96
41 43 94
41 42 50
68 69 23
19 22 88
90 91 91
19 20 37
90 93 91
19 21 100
90 92 32
57 60 20
1 100
