400 1194
177 178 31
217 220 73
113 115 24
113 116 57
177 179 56
225 227 92
329 330 15
169 172 82
225 228 16
329 331 46
113 114 28
18 19 77
329 332 70
225 226 62
63 64 62
63 65 78
362 365 24
63 66 70
362 364 21
18 21 98
370 371 87
370 372 85
370 373 35
177 180 89
18 20 65
185 187 83
185 188 41
185 186 50
85 86 14
85 88 65
85 87 29
169 171 76
169 170 1
105 106 59
217 219 87
105 107 68
217 218 17
105 108 31
354 356 67
354 357 17
354 355 19
193 194 44
193 196 3
193 195 60
208 209 83
345 348 37
345 347 90
345 346 76
97 98 71
97 99 74
53 55 94
53 56 80
234 236 2
53 54 64
234 237 66
298 299 23
121 122 75
289 291 65
289 290 25
121 124 46
121 123 46
289 292 1
208 211 16
362 363 84
234 235 4
208 210 3
75 78 55
75 77 66
75 76 11
168 171 94
168 170 75
328 329 51
114 116 20
218 220 3
114 117 87
114 115 63
218 221 57
186 187 76
168 169 35
363 364 2
28 31 23
363 366 1
363 365 45
120 121 91
353 355 72
353 356 27
218 219 42
199 200 6
199 201 28
28 30 95
199 202 12
353 354 12
130 131 35
130 132 28
130 133 35
241 244 100
241 243 80
28 29 63
296 297 86
328 330 58
328 331 58
242 245 4
242 244 65
242 243 89
16 19 79
16 18 6
16 17 33
241 242 93
65 66 26
192 193 68
297 299 13
65 68 75
192 195 72
65 67 12
192 194 56
297 298 67
120 123 76
120 122 19
198 200 12
198 201 43
131 133 33
131 134 21
186 188 99
38 39 21
186 189 78
346 347 49
87 89 32
346 348 41
87 88 41
346 349 52
38 41 60
235 236 65
235 237 3
235 238 65
87 90 79
224 225 48
224 227 20
38 40 21
224 226 78
179 182 73
319 321 100
319 320 27
179 180 36
179 181 1
319 322 13
227 230 38
360 363 21
360 362 38
360 361 19
21 24 60
327 329 21
21 23 35
21 22 89
327 328 3
175 176 95
279 280 96
279 281 38
103 106 6
103 105 65
103 104 56
279 282 20
131 132 3
327 330 37
227 228 7
227 229 95
43 44 91
43 45 17
43 46 50
197 200 66
232 234 89
232 235 74
61 64 46
61 63 30
106 107 52
232 233 32
61 62 95
106 108 59
106 109 6
347 350 59
240 243 63
240 242 76
240 241 42
356 358 14
356 359 31
356 357 77
191 194 70
191 193 13
191 192 87
132 133 78
260 261 97
132 134 97
260 262 15
132 135 41
219 222 44
260 263 33
219 221 1
83 84 7
219 220 49
83 85 2
83 86 43
176 177 83
176 178 45
176 179 52
112 114 17
112 115 3
112 113 4
347 348 1
347 349 34
31 32 70
31 34 77
31 33 58
178 180 2
178 181 72
178 179 30
95 98 69
95 97 15
95 96 72
226 228 95
226 229 94
