30 84
1 2 24
1 3 60
1 4 73
3 4 2
3 5 94
14 16 62
3 6 29
10 11 96
14 17 25
10 12 2
5 6 62
10 13 9
14 15 43
5 7 71
29 30 67
5 8 20
18 19 86
7 8 90
7 9 75
8 11 83
18 21 49
21 24 18
21 23 13
21 22 89
25 26 44
25 28 82
18 20 46
25 27 53
8 10 39
13 15 34
13 16 55
17 19 68
17 18 22
13 14 49
28 30 28
7 10 87
17 20 29
20 22 68
20 23 35
20 21 61
24 25 63
24 26 84
24 27 96
28 29 19
27 30 68
2 3 41
2 4 79
2 5 58
12 13 45
16 19 84
4 5 23
16 18 47
4 6 64
12 15 64
16 17 59
4 7 88
12 14 69
6 7 34
6 8 92
6 9 17
8 9 84
27 29 30
23 24 81
23 25 58
23 26 98
27 28 54
11 12 29
15 18 19
15 17 47
11 14 86
15 16 57
11 13 83
9 12 16
19 22 87
22 25 59
22 24 71
22 23 48
26 27 35
19 20 33
26 29 13
19 21 2
26 28 33
9 10 22
9 11 62
1 30
