200 594
52 54 62
145 148 29
52 55 66
145 147 77
177 178 21
29 32 9
145 146 68
1 2 97
52 53 28
1 3 26
113 115 32
1 4 68
113 116 10
177 179 100
169 172 92
113 114 30
29 30 46
137 140 41
18 19 27
29 31 25
63 64 71
63 65 36
63 66 31
18 21 12
177 180 76
18 20 33
74 77 18
74 76 39
74 75 59
153 154 32
137 139 21
185 187 21
137 138 35
185 188 94
185 186 15
85 86 41
85 88 29
85 87 68
169 171 48
169 170 98
105 106 80
105 107 62
105 108 64
96 97 57
96 98 12
96 99 27
193 194 62
128 129 7
193 196 56
193 195 31
86 88 94
86 89 64
86 87 100
40 43 44
40 42 90
40 41 52
97 98 65
97 99 15
53 55 76
53 56 86
53 54 51
121 122 81
121 124 80
121 123 40
154 156 46
128 130 51
154 157 25
128 131 90
154 155 62
64 65 82
64 67 66
64 66 30
75 78 53
75 77 41
75 76 70
99 101 71
99 102 61
168 171 65
168 170 29
99 100 7
114 116 63
39 42 65
114 117 45
146 147 33
114 115 19
186 187 41
146 149 91
168 169 53
146 148 69
39 41 25
39 40 91
28 31 1
120 121 94
17 19 94
136 137 79
17 18 22
136 138 33
136 139 83
199 200 74
152 154 37
28 30 42
152 155 48
152 153 32
130 131 32
130 132 98
17 20 25
130 133 60
28 29 29
54 56 64
54 57 94
27 30 47
54 55 39
16 19 90
16 18 54
16 17 86
65 66 78
192 193 73
65 68 69
192 195 85
65 67 45
192 194 61
120 123 88
120 122 32
27 29 18
198 200 8
131 133 16
27 28 82
131 134 60
49 51 47
153 155 27
49 50 93
76 77 17
153 156 15
76 78 42
76 79 33
170 173 28
186 188 49
38 39 10
170 172 78
186 189 63
170 171 78
87 89 66
49 52 54
87 88 70
38 41 54
129 130 74
129 131 6
87 90 39
98 99 79
129 132 42
38 40 30
179 182 20
179 180 65
147 150 87
179 181 73
10 11 20
10 12 2
10 13 68
21 24 2
21 23 52
135 136 93
21 22 25
98 100 5
98 101 53
175 176 26
135 137 30
135 138 68
103 106 16
103 105 37
127 130 1
103 104 22
32 33 20
131 132 68
32 35 49
32 34 81
163 164 43
147 149 60
147 148 74
163 166 81
163 165 73
127 128 60
43 44 18
43 45 77
43 46 82
127 129 30
50 51 99
50 53 75
50 52 96
119 121 89
119 120 56
197 200 71
119 122 71
61 64 82
61 63 91
106 107 95
61 62 51
106 108 18
160 162 13
106 109 99
160 163 73
72 74 29
72 75 12
160 161 93
72 73 82
191 194 82
191 193 94
191 192 88
132 133 16
132 134 21
132 135 9
83 84 3
83 85 10
83 86 10
176 177 99
176 178 96
176 179 15
94 97 30
112 114 61
94 96 98
112 115 33
94 95 30
112 113 100
134 135 45
134 136 72
134 137 16
31 32 13
31 34 99
31 33 12
178 180 57
84 85 80
156 158 37
178 181 88
156 159 92
84 87 1
84 86 68
156 157 15
42 45 60
148 150 29
42 44 31
42 43 22
148 151 6
178 179 3
95 98 30
95 97 34
95 96 77
51 52 61
126 127 17
51 54 76
51 53 98
126 129 61
126 128 31
104 106 20
104 107 1
104 105 90
184 186 27
62 63 14
184 187 98
62 64 68
62 65 20
20 22 79
20 23 76
97 100 1
20 21 49
184 185 18
140 141 83
148 149 15
162 164 94
162 165 42
73 75 63
140 143 78
73 76 47
140 142 58
162 163 10
73 74 27
161 162 70
161 163 89
161 164 76
183 185 95
183 186 100
183 184 20
30 31 71
30 32 52
30 33 62
41 44 87
41 43 88
41 42 69
133 135 17
111 112 14
133 136 63
19 22 77
111 113 69
111 114 100
133 134 56
155 157 36
190 191 88
155 158 74
19 20 66
190 193 74
19 21 13
190 192 42
155 156 29
35 38 5
35 37 70
35 36 4
157 160 49
80 83 15
189 191 80
80 82 1
189 190 27
80 81 91
189 192 29
157 159 38
46 47 70
125 126 95
197 198 51
46 49 68
125 128 100
46 48 38
125 127 90
91 93 21
91 94 39
91 92 67
149 152 33
149 151 23
149 150 19
157 158 74
13 15 49
13 16 23
13 14 46
141 144 70
141 143 11
141 142 70
173 174 51
173 176 78
173 175 66
24 25 56
24 26 82
24 27 91
69 71 98
58 59 40
69 70 12
182 183 29
12 13 33
182 184 35
182 185 4
12 15 21
117 118 49
12 14 80
69 72 16
108 109 84
8 9 94
58 60 19
117 119 28
23 24 77
23 25 63
23 26 8
58 61 57
110 112 97
110 113 53
110 111 28
117 120 39
34 36 96
34 37 86
34 35 11
165 166 85
165 168 69
165 167 96
45 46 91
108 111 55
45 48 34
45 47 93
108 110 97
198 199 66
101 104 11
101 103 27
101 102 17
102 105 92
102 104 23
124 127 28
158 161 39
124 126 50
124 125 42
102 103 78
7 8 54
7 9 14
70 71 72
164 165 94
70 73 76
70 72 76
196 197 62
142 143 53
196 199 97
196 198 59
81 84 100
174 177 48
81 83 47
174 176 77
81 82 68
174 175 8
158 159 61
7 10 75
59 61 59
59 60 50
92 94 87
92 95 86
158 160 4
92 93 83
59 62 18
107 108 21
107 109 73
118 119 42
33 35 96
33 36 46
33 34 69
6 7 39
82 83 83
6 8 99
82 84 92
6 9 81
82 85 70
181 183 73
44 45 19
181 184 64
44 46 73
44 47 32
181 182 61
93 95 42
93 96 60
93 94 22
