300 894
177 178 1
217 220 78
113 115 69
113 116 98
177 179 46
225 227 4
169 172 94
225 228 75
113 114 91
18 19 41
225 226 82
63 64 37
63 65 96
63 66 87
18 21 43
177 180 9
18 20 70
185 187 56
185 188 60
185 186 78
85 86 100
85 88 85
85 87 28
169 171 23
169 170 28
105 106 73
217 219 46
105 107 92
217 218 85
105 108 86
193 194 44
193 196 51
193 195 28
208 209 99
97 98 87
97 99 54
53 55 36
53 56 10
234 236 43
53 54 96
234 237 95
298 299 76
121 122 55
289 291 82
289 290 98
121 124 89
121 123 64
289 292 60
208 211 51
234 235 70
208 210 67
75 78 22
75 77 78
75 76 40
168 171 11
168 170 65
114 116 90
218 220 61
114 117 79
114 115 29
218 221 52
186 187 79
168 169 5
28 31 25
120 121 80
218 219 52
199 200 25
199 201 55
28 30 76
199 202 50
130 131 55
130 132 1
130 133 61
241 244 24
241 243 43
28 29 47
296 297 71
242 245 75
242 244 26
242 243 30
16 19 52
16 18 2
16 17 96
241 242 8
65 66 37
192 193 38
297 299 22
65 68 31
192 195 95
65 67 22
192 194 79
297 298 80
120 123 97
120 122 54
198 200 81
198 201 17
131 133 7
131 134 1
186 188 83
38 39 49
186 189 90
87 89 7
87 88 66
38 41 72
235 236 1
235 237 61
235 238 44
87 90 88
224 225 60
224 227 42
38 40 2
224 226 65
179 182 9
179 180 48
179 181 7
227 230 71
21 24 17
21 23 44
21 22 84
175 176 15
279 280 27
279 281 58
103 106 71
103 105 44
103 104 49
279 282 50
131 132 63
227 228 33
227 229 34
43 44 53
43 45 12
43 46 25
197 200 29
232 234 65
232 235 75
61 64 94
61 63 84
106 107 27
232 233 86
61 62 71
106 108 41
106 109 86
240 243 86
240 242 22
240 241 72
191 194 71
191 193 64
191 192 34
132 133 12
260 261 59
132 134 52
260 262 94
132 135 99
219 222 27
260 263 54
219 221 92
83 84 36
219 220 4
83 85 28
83 86 91
176 177 9
176 178 38
176 179 3
112 114 34
112 115 11
112 113 3
31 32 69
31 34 50
31 33 70
178 180 40
178 181 96
178 179 26
95 98 44
95 97 32
95 96 7
226 228 100
226 229 11
226 227 45
51 52 87
51 54 92
51 53 83
104 106 71
104 107 6
104 105 85
184 186 56
184 187 13
184 185 30
140 141 87
73 75 78
140 143 38
73 76 14
140 142 6
73 74 88
183 185 15
183 186 95
183 184 47
233 234 92
233 235 15
233 236 73
261 264 35
261 263 67
261 262 27
41 44 90
41 43 34
41 42 5
133 135 78
111 112 60
133 136 82
111 113 67
111 114 20
133 134 20
190 191 30
190 193 80
190 192 41
157 160 63
189 191 19
189 190 94
205 207 27
205 208 61
189 192 26
157 159 97
46 47 73
205 206 12
46 49 95
46 48 36
91 93 98
237 238 15
91 94 19
91 92 61
237 239 55
157 158 29
269 272 92
269 271 23
269 270 86
141 144 94
141 143 26
237 240 42
141 142 78
173 174 63
173 176 4
173 175 9
24 25 15
24 26 36
24 27 55
58 59 8
12 13 9
221 222 15
12 15 45
117 118 9
12 14 27
299 300 46
221 224 8
221 223 57
254 256 72
262 263 88
254 257 16
262 265 52
58 60 16
262 264 37
117 119 99
254 255 57
58 61 9
293 294 99
293 296 85
117 120 27
293 295 74
34 36 86
34 37 17
34 35 55
278 281 41
278 280 42
278 279 60
101 104 32
101 103 34
101 102 57
102 105 60
102 104 3
158 161 29
268 269 99
236 238 62
236 239 71
236 237 69
102 103 32
7 8 29
7 9 24
268 270 95
268 271 32
142 143 26
81 84 30
174 177 84
81 83 67
174 176 49
81 82 15
174 175 86
158 159 90
158 160 83
206 207 49
206 208 14
263 266 61
206 209 63
263 265 51
118 119 57
253 255 39
263 264 15
298 300 72
253 256 9
252 253 3
253 254 12
44 45 41
44 46 21
44 47 81
93 95 65
93 96 17
93 94 79
142 145 38
142 144 98
175 177 58
175 178 98
292 295 20
292 294 60
22 25 31
118 120 17
22 24 59
22 23 93
118 121 35
71 72 41
292 293 6
71 74 77
71 73 1
5 6 34
5 7 26
280 282 39
5 8 94
280 283 47
88 89 46
280 281 54
8 11 42
159 160 68
159 161 69
159 162 64
239 241 69
88 91 61
239 240 74
88 90 26
239 242 76
207 210 51
8 10 13
207 209 85
115 116 24
115 117 38
115 118 23
207 208 47
66 68 89
66 69 53
66 67 47
252 254 95
252 255 75
220 221 19
220 223 28
220 222 23
48 50 19
296 298 26
296 299 18
295 296 49
295 298 82
295 297 41
48 51 60
171 174 57
251 253 5
171 173 23
251 254 20
48 49 90
251 252 62
171 172 83
223 224 74
143 146 100
143 145 18
143 144 71
267 270 17
223 226 84
187 190 28
223 225 19
267 268 14
187 189 42
187 188 42
26 27 8
26 29 10
26 28 57
267 269 72
56 59 28
56 58 11
56 57 4
238 241 72
188 189 29
238 240 46
3 4 53
3 5 49
14 16 80
3 6 71
14 17 93
14 15 60
188 190 89
188 191 19
78 79 51
36 39 6
36 38 13
36 37 30
238 239 45
78 80 24
116 119 62
78 81 25
116 118 10
116 117 83
172 175 50
172 174 23
172 173 82
294 297 81
294 296 58
222 223 56
294 295 44
222 225 86
222 224 27
250 252 17
266 267 21
250 253 100
266 269 47
266 268 57
68 70 25
